id,first_name,last_name,player_type,active,bats,throws,birth_year,bbref_id,mlb_id,bp_id,cbs_id,espn_id,fg_id
browntr01,Trevor,Brown,h,1,r,r,1991,browntr01,623143,101226,2120040,33484,13895
broxtjo01,Jonathan,Broxton,p,1,r,r,1984,broxtjo01,455009,33197,558833,6370,4759
broxtke01,Keon,Broxton,h,1,r,r,1990,broxtke01,542979,60831,1740911,30755,9253
bruceja01,Jay,Bruce,h,1,l,l,1987,bruceja01,457803,47142,1133731,28954,9892
brugmja01,Jaycob,Brugman,h,1,l,l,1992,brugmja01,595144,68830,2171877,34686,14936
brummty01,Tyson,Brummett,p,1,r,r,1984,brummty01,445204,52875,1809322,31339,509
bryankr01,Kris,Bryant,h,1,r,r,1992,bryankr01,592178,68520,2071263,33172,15429
buchada01,David,Buchanan,p,1,r,r,1989,buchada01,571527,66513,2118123,33281,11176
buchaja01,Jake,Buchanan,p,1,r,r,1989,buchaja01,594772,67724,2114136,33144,10962
buchhcl01,Clay,Buchholz,p,1,l,r,1984,buchhcl01,453329,47160,1184594,28855,3543
buchtry01,Ryan,Buchter,p,1,l,l,1987,buchtry01,488748,50058,1959088,32329,9456
buckjo01,John,Buck,h,1,r,r,1980,buckjo01,407833,31321,284577,5407,2041
bucktr01,Travis,Buck,h,1,l,r,1983,bucktr01,459941,47162,1186194,28646,4646
bucknbi02,Billy,Buckner,p,1,r,r,1983,bucknbi02,434438,47164,530352,28859,8253
buehlwa01,Walker,Buehler,p,1,r,r,1994,buehlwa01,621111,107174,2184468,39251,19374
buehrma01,Mark,Buehrle,p,1,l,l,1979,buehrma01,279824,1526,174775,4454,225
buenofr01,Francisley,Bueno,p,1,l,l,1981,buenofr01,499107,51505,1539222,29202,5980
bumgama01,Madison,Bumgarner,p,1,r,l,1989,bumgama01,518516,57743,1619074,29949,5524
bummeaa01,Aaron,Bummer,p,1,l,l,1993,bummeaa01,607481,71057,2637180,36131,16258
bundydy01,Dylan,Bundy,p,1,s,r,1992,bundydy01,605164,70753,1894623,32094,12917
burawda01,Danny,Burawa,p,1,r,r,1988,burawda01,592181,66945,1943716,32102,11397
burgoen02,Enrique,Burgos,p,1,r,r,1990,burgoen02,542609,59890,2049970,34838,3895
burgohi01,Hiram,Burgos,p,1,r,r,1987,burgohi01,572744,60181,2027398,32572,9412
burkegr01,Greg,Burke,p,1,r,r,1982,burkegr01,457566,51979,1601126,30231,6282
burnea.01,A.J.,Burnett,p,1,r,r,1977,burnea.01,150359,493,21508,4153,512
burneal01,Alex,Burnett,p,1,r,r,1987,burneal01,488751,49272,1670990,30410,4065
burnese01,Sean,Burnett,p,1,l,l,1982,burnese01,430634,31544,448914,5384,1886
burnsan01,Andy,Burns,h,1,r,r,1990,burnsan01,542992,70295,1954558,32019,12779
burnsbi02,Billy,Burns,h,1,s,r,1989,burnsbi02,542993,70296,2046042,32860,12701
burnsco01,Cory,Burns,p,1,r,r,1987,burnsco01,451132,59165,1946292,31689,6620
burriem01,Emmanuel,Burriss,h,1,s,r,1985,burriem01,502034,50099,1488165,29106,2917
burtoja01,Jared,Burton,p,1,r,r,1981,burtoja01,454537,33326,1098902,28733,8346
buschma01,Matt,Buschmann,p,1,r,r,1984,buschma01,501936,51138,1662850,30164,3832
busenal01,Alan,Busenitz,p,1,r,r,1990,busenal01,641427,102544,2228457,35843,15239
bushma01,Matt,Bush,p,1,r,r,1986,bushma01,456713,47181,547421,30074,1246
bussni01,Nick,Buss,h,1,l,r,1986,bussni01,502544,58117,1960787,32384,6835
buterdr01,Drew,Butera,h,1,r,r,1983,buterdr01,460077,47155,593268,29436,3411
butlebi03,Billy,Butler,h,1,r,r,1986,butlebi03,456714,45396,584800,6396,7399
butleda01,Dan,Butler,h,1,r,r,1986,butleda01,576788,60379,1805189,31234,9968
butleed01,Eddie,Butler,p,1,r,r,1991,butleed01,572750,99938,2044496,32831,13453
